Employee_ID,Full_Name,Gender,Age,Marital_Status,Number_of_Dependents,State_of_Origin,Education_Level,Department,Job_Title,Job_Level,Employment_Type,Work_Location,Hire_Date,Years_of_Service,Monthly_Salary_NGN,Performance_Rating,Job_Satisfaction_Score,Employee_Engagement_Score,Training_Hours_Per_Year,Overtime_Flag,Absences_Per_Year,Years_Since_Last_Promotion,Attrition
EMP93811,Lawal Nwosu,Female,37,Married,3,Ogun,M.Sc/MBA,Customer Service,Client Relations Officer,Mid,Full-Time,Hybrid,2021-10-17,3.2," 486,733 ",Exceptional,5,3,22,No,3,0,Yes
EMP24593,Ife Bello,Male,35,Single,2,Kaduna,M.Sc/MBA,Finance,Treasury Officer,Mid,Full-Time,On-site,2019-09-10,5.3," 683,069 ",Meets Expectations,5,3,36,Yes,0,8,No
EMP13279,Yemi Lawal,Female,30,Single,0,Lagos,Ph.D,Sales,Regional Sales Manager,Manager,Part-Time,Hybrid,2012-09-20,12.3," 161,875 ",Meets Expectations,4,4,30,Yes,0,0,No
EMP46049,Nnamdi Nwachukwu,Female,22,Married,2,Lagos,HND,Marketing,Brand Manager,Manager,Full-Time,On-site,2018-11-24,6.1," 600,932 ",Meets Expectations,2,4,35,No,3,0,No
EMP42099,Tope Adeleke,Male,27,Married,0,Abuja,B.Sc/B.A,Technology,Software Engineer,Mid,Full-Time,On-site,2023-08-13,1.4," 438,197 ",Exceptional,2,3,7,No,6,0,No
EMP39257,Yemi Salami,Female,51,Single,0,Abuja,B.Sc/B.A,Marketing,Marketing Coordinator,Junior,Full-Time,On-site,2012-04-22,12.7," 651,924 ",Below Expectations,3,3,28,No,3,0,No
EMP28290,Ifeoma Eze,Female,29,Married,2,Lagos,B.Sc/B.A,Marketing,Marketing Executive,Executive,Full-Time,Hybrid,2014-12-12,10.1," 494,689 ",Meets Expectations,4,3,20,No,2,0,Yes
EMP23435,Zainab Bello,Female,30,Married,1,Lagos,PGD,Technology,Data Analyst,Mid,Full-Time,On-site,2012-05-17,12.6," 582,284 ",Meets Expectations,4,4,23,Yes,1,2,No
EMP98697,Sade Garba,Male,35,Married,3,Kaduna,B.Sc/B.A,Human Resources,HR Officer,Mid,Full-Time,On-site,2022-01-10,3," 446,511 ",Exceeds Expectations,3,5,0,No,0,8,No
EMP81483,Biodun Hassan,Male,35,Married,3,Ogun,Ph.D,Human Resources,Learning & Development Officer,Mid,Full-Time,On-site,2010-05-25,14.6," 370,581 ",Exceeds Expectations,3,4,34,No,0,0,No
EMP21396,Dayo Garba,Female,33,Single,0,Lagos,M.Sc/MBA,Technology,Data Analyst,Mid,Full-Time,On-site,2018-05-27,6.6," 571,352 ",Exceeds Expectations,3,5,20,No,1,4,No
EMP87398,Chioma Musa,Female,24,Married,2,Lagos,M.Sc/MBA,Legal & Compliance,Contract Specialist,Mid,Full-Time,On-site,2016-06-21,8.5," 544,170 ",Exceeds Expectations,5,4,13,No,0,4,Yes
EMP65303,Biodun Adeleke,Female,29,Single,4,Lagos,B.Sc/B.A,Sales,Sales Executive,Executive,Full-Time,On-site,2011-06-14,13.5," 593,920 ",Exceeds Expectations,4,5,31,Yes,6,3,No
EMP14166,Fatima Olawale,Male,40,Single,1,Ogun,B.Sc/B.A,Technology,Data Analyst,Mid,Full-Time,On-site,2015-06-30,9.5," 649,899 ",Unsatisfactory,3,5,33,No,1,0,Yes
EMP13906,Hauwa Musa,Male,36,Single,2,Enugu,HND,Operations,Logistics Coordinator,Junior,Full-Time,On-site,2013-06-30,11.5," 1,741,437 ",Below Expectations,4,2,35,No,0,0,No
EMP22281,Fatima Olawale,Male,42,Married,4,Lagos,PGD,Sales,Regional Sales Manager,Manager,Full-Time,Remote,2020-10-14,4.2," 203,220 ",Exceeds Expectations,4,4,13,No,8,1,Yes
EMP38658,Funmi Obi,Female,36,Divorced,2,Lagos,B.Sc/B.A,Human Resources,Compensation Analyst,Mid,Full-Time,On-site,2011-08-07,13.4," 437,232 ",Meets Expectations,3,5,16,No,3,3,No
EMP40496,Funmi Adeyemi,Male,57,Married,2,Lagos,M.Sc/MBA,Operations,Logistics Coordinator,Junior,Full-Time,On-site,2015-07-15,9.5," 637,399 ",Meets Expectations,3,3,12,No,0,0,No
EMP76238,Bola Okafor,Female,34,Divorced,4,Ogun,B.Sc/B.A,Technology,Software Engineer,Mid,Full-Time,Hybrid,2018-08-15,6.4," 2,494,967 ",Exceeds Expectations,3,3,20,No,2,5,No
EMP88908,Sade Bello,Male,30,Single,3,Oyo,B.Sc/B.A,Marketing,Marketing Executive,Executive,Full-Time,On-site,2012-06-14,12.5," 437,050 ",Meets Expectations,3,5,6,No,1,0,No
EMP13479,Musa Musa,Male,28,Married,0,Abuja,B.Sc/B.A,Sales,Account Manager,Manager,Full-Time,On-site,2019-09-01,5.3," 1,573,376 ",Exceeds Expectations,4,3,17,No,6,2,No
EMP83564,Nneka Bello,Female,35,Single,0,Lagos,HND,Sales,Regional Sales Manager,Manager,Full-Time,On-site,2012-06-13,12.6," 619,720 ",Exceeds Expectations,3,4,27,No,8,1,No
EMP36063,Adaeze Hassan,Female,29,Single,1,Enugu,PGD,Operations,Operations Officer,Mid,Full-Time,Hybrid,2012-03-04,12.8," 440,839 ",Unsatisfactory,4,4,20,No,2,4,Yes
EMP95182,Biodun Oduya,Male,22,Married,0,Anambra,HND,Engineering,Project Engineer,Mid,Contract,On-site,2018-06-28,6.5," 590,167 ",Exceptional,5,5,28,No,0,1,No
EMP81427,Dayo Abiodun,Female,32,Widowed,1,Lagos,B.Sc/B.A,Human Resources,HR Business Partner,Mid,Intern,On-site,2021-07-20,3.4," 610,303 ",Below Expectations,1,4,28,No,4,1,Yes
EMP64988,Zainab Garba,Female,33,Married,3,Anambra,B.Sc/B.A,Legal & Compliance,Company Secretary,Mid,Full-Time,Hybrid,2019-08-07,5.4," 395,371 ",Meets Expectations,4,4,3,No,1,0,Yes
EMP38894,Chioma Okonkwo,Female,34,Widowed,0,Anambra,HND,Human Resources,HR Officer,Mid,Full-Time,Remote,2016-10-04,8.2," 366,563 ",Below Expectations,4,3,53,No,1,5,No
EMP68879,Amaka Bello,Female,29,Married,4,Abuja,B.Sc/B.A,Executive,Chief Executive Officer,Executive,Full-Time,Hybrid,2013-08-05,11.4," 532,335 ",Meets Expectations,4,4,18,No,16,0,No
EMP87237,Ifeoma Oduya,Male,41,Married,1,Abuja,PGD,Engineering,Quality Assurance Engineer,Mid,Part-Time,On-site,2011-06-14,13.5," 6,937,128 ",Meets Expectations,5,4,33,No,5,1,No
EMP46464,Femi Nwachukwu,Male,43,,2,Lagos,HND,Marketing,Brand Manager,Manager,Full-Time,Hybrid,2012-08-09,12.4," 577,891 ",Meets Expectations,,3,,No,0,4,No
EMP10852,Kemi Musa,Female,27,Married,1,Lagos,B.Sc/B.A,Marketing,Marketing Coordinator,Junior,Full-Time,Hybrid,2014-12-25,10," 493,711 ",Below Expectations,4,2,17,Yes,3,2,Yes
EMP30927,Chioma Garba,Female,34,,0,Delta,B.Sc/B.A,Sales,Regional Sales Manager,Manager,Full-Time,Hybrid,2012-10-08,12.2," 1,634,259 ",Exceeds Expectations,,5,,No,4,0,No
EMP65393,Amara Adeyemi,Female,27,Married,1,Abuja,B.Sc/B.A,Engineering,Mechanical Engineer,Mid,Contract,On-site,2020-12-07,4.1," 485,528 ",Exceeds Expectations,3,4,42,No,0,1,Yes
EMP54598,Obinna Olawale,Male,31,,0,Lagos,B.Sc/B.A,Marketing,Brand Manager,Manager,Full-Time,Hybrid,2022-04-17,2.7," 440,052 ",Below Expectations,,2,,No,6,2,No
EMP46422,Uche Eze,Male,22,Single,0,Delta,B.Sc/B.A,Finance,Financial Analyst,Mid,Part-Time,On-site,2010-03-16,14.8," 474,351 ",Below Expectations,4,2,26,No,9,5,No
EMP30380,Tunde Babatunde,Male,23,,3,Lagos,Ph.D,Executive,Chief Operations Officer,Mid,Full-Time,Hybrid,2023-04-24,1.7," 642,260 ",Exceeds Expectations,,2,,Yes,5,5,No
EMP38222,Femi Salami,Female,35,Single,4,Abuja,B.Sc/B.A,Customer Service,Customer Success Manager,Manager,Full-Time,On-site,2016-03-04,8.8," 648,663 ",Exceeds Expectations,3,4,28,No,0,0,No
EMP54119,Amaka Sule,Female,35,Single,3,Lagos,B.Sc/B.A,Finance,Auditor,Mid,Full-Time,Hybrid,2019-09-23,5.3," 493,056 ",Below Expectations,4,3,34,No,0,2,No
EMP23397,Ngozi Musa,Female,47,Single,0,Kaduna,HND,Customer Service,Customer Service Representative,Junior,Full-Time,On-site,2014-08-27,10.3," 614,297 ",Exceeds Expectations,2,2,29,No,1,3,No
EMP22157,Chioma Nwosu,Female,28,,2,Rivers,B.Sc/B.A,Engineering,Quality Assurance Engineer,Mid,Intern,On-site,2016-09-11,8.3," 355,925 ",Exceptional,,4,,No,4,4,No
EMP59798,Biodun Musa,Female,39,Single,2,Lagos,PGD,Engineering,Civil Engineer,Mid,Contract,On-site,2023-08-06,1.4," 1,450,945 ",Exceeds Expectations,5,5,46,Yes,1,0,No
EMP22677,Kemi Garba,Male,40,Single,2,Kano,M.Sc/MBA,Sales,Regional Sales Manager,Manager,Full-Time,On-site,2015-09-20,9.3," 460,931 ",Unsatisfactory,2,3,21,No,6,1,No
EMP57053,Chukwu Abiodun,Female,32,Single,2,Enugu,B.Sc/B.A,Operations,Operations Manager,Manager,Part-Time,On-site,2023-07-27,1.4," 681,383 ",Meets Expectations,3,4,56,Yes,5,0,No
EMP55083,Femi Abiodun,Male,34,Single,2,Lagos,B.Sc/B.A,Customer Service,Call Centre Agent,Junior,Full-Time,On-site,2013-04-13,11.7," 567,966 ",Unsatisfactory,5,2,22,Yes,11,7,Yes
EMP89132,Aisha Babatunde,Female,32,Married,2,Ogun,B.Sc/B.A,Human Resources,Compensation Analyst,Mid,Full-Time,Hybrid,2016-04-29,8.7," 656,219 ",Unsatisfactory,4,5,32,Yes,10,1,No
EMP44672,Ibrahim Sule,Female,30,Single,2,Kano,HND,Technology,Software Engineer,Mid,Full-Time,On-site,2021-07-09,3.5," 576,606 ",Exceeds Expectations,3,4,33,No,7,0,No
EMP15696,Lawal Abiodun,Male,35,Married,3,Rivers,HND,Legal & Compliance,Company Secretary,Mid,Contract,Hybrid,2016-03-09,8.8," 628,697 ",Exceeds Expectations,3,4,9,Yes,4,2,No
EMP70218,Dayo Nwosu,Male,35,Married,2,Rivers,B.Sc/B.A,Technology,Software Engineer,Mid,Contract,Remote,2011-11-24,13.1," 584,290 ",Unsatisfactory,4,4,14,No,0,1,No
EMP80285,Seun Obi,Female,36,Married,2,Kano,B.Sc/B.A,Technology,Data Analyst,Mid,Full-Time,Hybrid,2010-03-01,14.8," 668,432 ",Meets Expectations,5,4,30,No,4,1,No
EMP26362,Amara Adeleke,Female,40,Married,3,Lagos,B.Sc/B.A,Technology,Data Analyst,Mid,Full-Time,On-site,2021-07-10,3.5," 8,166,843 ",Unsatisfactory,5,5,16,No,8,6,No
EMP59616,Nneka Eze,Male,37,Divorced,1,Abuja,B.Sc/B.A,Technology,DevOps Engineer,Mid,Full-Time,Hybrid,2018-10-30,6.2," 240,452 ",Below Expectations,4,4,70,No,4,3,Yes
EMP20329,Chidi Babatunde,Male,35,Married,2,Lagos,B.Sc/B.A,Technology,Data Analyst,Mid,Full-Time,On-site,2019-01-07,6," 566,307 ",Meets Expectations,3,2,26,Yes,1,0,No
EMP82358,Sade Abiodun,Male,30,Married,0,Lagos,M.Sc/MBA,Sales,Business Development Officer,Mid,Contract,On-site,2022-01-12,3," 550,671 ",Exceeds Expectations,3,5,24,No,3,0,No
EMP48428,Zainab Bello,Male,31,Divorced,3,Anambra,HND,Marketing,Marketing Executive,Executive,Intern,Hybrid,2013-08-06,11.4," 375,094 ",Exceeds Expectations,4,2,24,No,6,1,No
EMP92398,Nnamdi Okonkwo,Male,34,Single,2,Abuja,B.Sc/B.A,Technology,Software Engineer,Mid,Full-Time,On-site,2010-06-23,14.5," 5,818,024 ",Exceptional,4,1,11,No,0,2,No
EMP91071,Hauwa Oduya,Male,50,Married,2,Oyo,B.Sc/B.A,Operations,Operations Manager,Manager,Intern,On-site,2014-03-11,10.8," 517,883 ",Exceeds Expectations,4,4,46,Yes,5,9,No
EMP57401,Uche Oduya,Male,22,Single,4,Lagos,M.Sc/MBA,Technology,Systems Administrator,Mid,Full-Time,On-site,2010-11-11,14.1," 333,066 ",Exceeds Expectations,4,4,26,No,1,1,No
EMP85675,Tunde Musa,Male,28,Divorced,1,Abuja,B.Sc/B.A,Sales,Sales Executive,Executive,Full-Time,On-site,2016-10-28,8.2," 556,129 ",Exceeds Expectations,1,4,43,Yes,0,0,No
EMP35204,Amaka Bello,Male,46,Married,2,Lagos,HND,Finance,Auditor,Mid,Full-Time,Hybrid,2018-02-26,6.8," 467,504 ",Below Expectations,4,4,28,No,1,7,Yes
EMP19117,Tope Eze,Male,36,Single,0,Oyo,M.Sc/MBA,Operations,Operations Officer,Mid,Full-Time,On-site,2012-05-21,12.6," 292,082 ",Below Expectations,4,5,43,Yes,2,0,No
EMP16007,Ibrahim Eze,Male,42,Married,2,Abuja,M.Sc/MBA,Operations,Supply Chain Analyst,Mid,Contract,On-site,2010-12-25,14," 1,608,609 ",Below Expectations,3,3,15,No,0,0,No
EMP96674,Ibrahim Bello,Male,32,Divorced,2,Lagos,HND,Human Resources,Compensation Analyst,Mid,Full-Time,On-site,2010-06-29,14.5," 567,222 ",Unsatisfactory,2,5,46,No,2,1,Yes
EMP39872,Ngozi Adeleke,Male,32,Married,2,Abuja,HND,Sales,Regional Sales Manager,Manager,Full-Time,On-site,2018-08-13,6.4," 688,930 ",Exceptional,1,5,9,No,3,2,No
EMP47931,Nneka Olawale,Female,33,Single,3,Lagos,B.Sc/B.A,Customer Service,Call Centre Agent,Junior,Full-Time,Hybrid,2016-01-09,9," 499,744 ",Exceptional,5,3,18,No,2,4,Yes
EMP20459,Yemi Yakubu,Male,27,Divorced,2,Abuja,HND,Technology,IT Support,Mid,Contract,On-site,2023-07-29,1.4," 5,510,751 ",Exceeds Expectations,3,5,29,No,4,0,No
EMP40513,Tope Adeleke,Male,38,Divorced,2,Delta,B.Sc/B.A,Finance,Accountant,Mid,Full-Time,On-site,2022-01-20,2.9," 501,340 ",Meets Expectations,3,4,25,No,1,2,No
EMP23239,Biodun Chukwuemeka,Male,48,Married,2,Oyo,HND,Finance,Auditor,Mid,Full-Time,Remote,2013-06-29,11.5," 664,522 ",Meets Expectations,4,2,0,No,1,8,No
EMP59824,Obinna Okafor,Male,30,Single,3,Lagos,B.Sc/B.A,Sales,Business Development Officer,Mid,Full-Time,On-site,2018-11-04,6.2," 5,662,520 ",Meets Expectations,4,2,26,No,7,0,No
EMP46435,Nnamdi Okafor,Male,29,Single,3,Oyo,HND,Technology,Software Engineer,Mid,Contract,Hybrid,2010-12-25,14," 396,642 ",Meets Expectations,4,4,34,Yes,4,2,No
EMP69430,Kemi Lawal,Male,36,Single,0,Rivers,B.Sc/B.A,Marketing,Content Strategist,Mid,Full-Time,Remote,2013-08-29,11.3," 510,971 ",Exceeds Expectations,1,4,30,Yes,1,0,No
EMP93321,Adaeze Oduya,Male,39,Single,0,Kano,B.Sc/B.A,Technology,Systems Administrator,Mid,Contract,On-site,2018-08-24,6.4," 692,915 ",Meets Expectations,2,2,31,No,2,1,No
EMP57820,Chidi Nwosu,Female,29,Married,2,Kaduna,HND,Operations,Operations Officer,Mid,Full-Time,On-site,2018-02-01,6.9," 612,117 ",Exceeds Expectations,4,2,37,No,7,1,No
EMP31320,Chidi Babatunde,Female,39,Married,1,Enugu,B.Sc/B.A,Finance,Auditor,Mid,Full-Time,Hybrid,2018-04-12,6.7," 437,384 ",Exceptional,4,3,33,Yes,9,1,No
EMP58521,Ibrahim Nwosu,Female,30,Single,2,Abuja,B.Sc/B.A,Technology,Systems Administrator,Mid,Part-Time,On-site,2016-03-31,8.8," 392,213 ",Meets Expectations,5,4,35,No,1,0,No
EMP56567,Dayo Obi,Female,36,Married,2,Rivers,M.Sc/MBA,Sales,Sales Coordinator,Junior,Full-Time,On-site,2022-01-31,2.9," 529,771 ",Meets Expectations,4,4,22,No,3,2,No
EMP37461,Emeka Abiodun,Male,22,Married,3,Abuja,B.Sc/B.A,Operations,Supply Chain Analyst,Mid,Contract,On-site,2012-06-21,12.5," 670,103 ",Below Expectations,5,5,18,Yes,4,3,Yes
EMP97842,Tunde Okonkwo,Female,38,Married,0,Kano,M.Sc/MBA,Technology,Data Analyst,Mid,Full-Time,On-site,2018-06-20,6.5," 446,469 ",Exceeds Expectations,4,2,31,No,2,0,No
EMP44994,Adaeze Sule,Male,22,Single,0,Rivers,B.Sc/B.A,Customer Service,Customer Success Manager,Manager,Full-Time,On-site,2013-05-11,11.6," 489,352 ",Unsatisfactory,3,4,45,No,1,0,No
EMP99594,Chioma Garba,Male,36,Married,2,Delta,B.Sc/B.A,Marketing,Marketing Coordinator,Junior,Contract,On-site,2013-08-06,11.4," 328,162 ",Meets Expectations,4,4,17,No,0,0,No
EMP94940,Nnamdi Okonkwo,Female,30,Married,1,Abuja,HND,Marketing,Content Strategist,Mid,Intern,On-site,2023-11-20,1.1," 158,155 ",Meets Expectations,3,4,26,No,4,0,Yes
EMP19359,Funmi Usman,Male,23,Married,3,Abuja,HND,Sales,Account Manager,Manager,Full-Time,On-site,2012-06-07,12.6," 150,606 ",Exceeds Expectations,,1,7,Yes,11,10,No
EMP89841,Chioma Oduya,Male,29,Married,2,Anambra,B.Sc/B.A,Finance,Treasury Officer,Mid,Full-Time,On-site,2022-09-01,2.3," 539,100 ",Exceeds Expectations,4,5,40,No,6,2,No
EMP93228,Chidi Okonkwo,Male,40,Single,1,Oyo,M.Sc/MBA,Marketing,Marketing Executive,Executive,Contract,On-site,2017-06-07,7.6," 4,953,527 ",Exceeds Expectations,4,5,22,No,2,0,No
